~A D.M	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
2882.0	8484	6134	4118	2730	1688	1047	643	377	238	137	88	47	27	14	12	5	5	2	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2881.7	8569	6106	4158	2643	1711	1039	613	399	239	138	77	48	27	18	10	6	7	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2881.4	8752.5	6208.5	4224	2715	1801.5	1066.5	609	411	231	151.5	70.5	60	25.5	27	16.5	10.5	1.5	7.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2881.1	8771	6030	4218	2784	1741	1092	615	400	238	133	95	61	33	18	11	10	1	2	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2880.8	8491.5	6001.5	4137	2682	1710	1063.5	600	370.5	234	136.5	112.5	51	33	19.5	4.5	0	1.5	0	3	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2880.5	8360	5983	4146	2645	1793	1059	634	354	212	155	90	43	21	23	6	2	2	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2880.2	8558	5977	4170	2730	1768	1090	604	367	223	147	90	52	30	29	18	1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2879.9	8635.5	6105	4215	2736	1749	1122	601.5	381	214.5	135	91.5	58.5	36	30	12	6	1.5	1.5	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2879.6	8623	6164	4171	2673	1748	1113	612	394	229	143	82	48	31	20	7	13	3	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2879.3	8444	6050	4185	2698	1694	1043	617	378	224	123	98	38	31	13	6	4	4	2	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2879.0	8397	6033	4222.5	2715	1713	1035	673.5	367.5	223.5	129	105	33	36	15	10.5	4.5	4.5	3	1.5	1.5	3	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2878.7	8506	5966	4125	2709	1689	947	654	380	226	114	74	44	27	19	14	4	6	1	4	2	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2878.4	8562	5955	4224	2763	1680	994.5	678	367.5	241.5	138	73.5	57	25.5	15	7.5	1.5	3	1.5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2878.1	8464	6075	4230	2747	1662	1096	683	443	270	163	79	58	30	15	12	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2877.8	8592	6221	4188	2829	1680	1137	651	435	264	148	80	56	32	13	9	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2877.5	8629.5	6225	4128	2871	1753.5	1080	652.5	381	255	127.5	82.5	37.5	22.5	18	19.5	1.5	4.5	0	1.5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2877.2	8585	6155	4091	2827	1706	1041	681	357	259	123	95	48	29	20	16	3	5	1	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2876.9	8508	6084	4068	2838	1758	1057.5	678	367.5	261	135	102	54	31.5	13.5	9	0	3	1.5	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2876.6	8474	6154	4058	2722	1742	1040	655	407	232	133	83	55	27	18	9	6	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2876.3	8544	6197	4158	2680	1680	1070	622	422	249	140	88	46	29	17	8	7	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2876.0	8563.5	6217.5	4218	2793	1678.5	1077	625.5	405	243	136.5	81	55.5	30	15	12	4.5	0	3	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2875.7	8584	6198	4194	2772	1749	1092	684	386	227	138	91	69	33	18	12	4	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
2875.4	8499	6058.5	4195.5	2769	1755	1056	712.5	367.5	193.5	139.5	85.5	60	39	21	13.5	4.5	1.5	0	0	3	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2875.1	8399	6067	4176	2762	1663	1079	665	382	227	129	81	48	33	25	13	6	1	2	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2874.8	8476.5	5987.25	4133.25	2678.25	1713	1040.25	615	379.5	226.5	140.25	72.75	45.75	31.5	19.5	15.75	3.75	2.25	2.25	2.25	1.5	0.75	0	0	0	0	0	0	0.75	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0
2874.5	8488.5	6033	4155	2737.5	1677	1005	663	358.5	217.5	136.5	82.5	40.5	28.5	12	13.5	9	4.5	1.5	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2874.2	8391	5926	4066	2722	1736	994	598	365	232	126	77	49	23	14	13	7	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2873.9	8360	5964	4056	2623	1632	978	586	384	216	125	76	48	29	20	7	4	5	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2873.6	8268	5727	3960	2590	1628	982	607	359	202	142	73	44	16	13	11	7	1	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2873.3	8289	5756	3864	2589	1691	963	589	358	207	145	83	53	23	14	12	4	3	3	1	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2873.0	8272.5	5802	3915	2460	1611	1012.5	604.5	375	228	130.5	72	52.5	25.5	19.5	18	3	9	1.5	1.5	0	0	0	3	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
2872.7	8168	5834	3962	2601	1636	1054	615	413	257	125	77	37	31	16	9	11	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2872.4	8506	6166	4194	2725	1764	1113	661	407	239	145	84	51	41	11	12	8	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2872.1	8706	6405	4241	2809	1852	1098	699	417	217	152	101	64	37	16	18	9	4	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2871.8	8589	6250	4146	2792	1770	1077	652	426	227	146	97	62	27	22	8	5	6	3	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2871.5	8679	6285	4242	2851.5	1746	1063.5	616.5	421.5	246	153	84	72	33	24	16.5	7.5	3	0	3	0	1.5	1.5	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2871.2	8618	6262	4295	2854	1823	1109	665	398	248	140	71	63	26	15	12	9	3	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2870.9	8908	6481	4610	2925	1925	1201	741	433	275	154	92	60	43	16	9	12	6	6	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2870.6	9016	6547	4504	2932	1901	1223	740	444	261	160	90	60	43	15	10	14	8	3	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2870.3	8893	6465	4504	2859	1946	1195	732	428	271	144	83	58	24	13	7	16	7	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
2870.0	9163.5	6528	4624.5	3070.5	1977	1233	793.5	483	300	145.5	103.5	58.5	31.5	22.5	15	6	6	1.5	3	1.5	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2869.7	9060	6623	4575	3133	1961	1246	775	480	290	189	111	64	38	21	13	9	9	0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2869.4	8891	6579	4458	3052	1901	1286	716	443	283	170	104	57	39	17	7	7	9	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2869.1	8849	6461	4370	2929	1855	1195	695	469	254	155	87	58	41	18	17	6	5	6	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2868.8	8927	6394	4372	2984	1853	1216	711	429	254	165	95	63	38	19	12	7	5	3	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2868.5	9013.5	6552	4545	3087	1945.5	1207.5	744	459	282	169.5	100.5	58.5	31.5	22.5	9	3	9	6	0	3	1.5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2868.2	8658	6284	4383	2949	1847	1071	692	407	241	144	75	53	26	24	14	8	7	8	0	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2867.9	8587	6059	4238	2801	1775	1066	631	371	218	127	68	47	38	16	6	9	6	7	2	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2867.6	8747	6172	4294	2775	1771	1117	655	389	218	134	82	36	40	15	10	6	2	3	3	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2867.3	8626	6216	4174	2786	1770	1100	627	370	227	135	89	48	38	15	20	9	3	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
